C_ID,C_TAX_ID,C_GNDR,C_TIER,C_DOB,C_L_NAME,C_F_NAME,C_M_NAME,C_ADLINE1,C_ADLINE2,C_ZIPCODE,C_CITY,C_STATE_PROV,C_CTRY,C_PRIM_EMAIL,C_ALT_EMAIL,C_CTRY_CODE_1,C_AREA_CODE_1,C_LOCAL_1,C_EXT_1,C_CTRY_CODE_2,C_AREA_CODE_2,C_LOCAL_2,C_EXT_2,C_CTRY_CODE_3,C_AREA_CODE_3,C_LOCAL_3,C_EXT_3,C_LCL_TX_ID,C_NAT_TX_ID,CA_ID,CA_TAX_ST,CA_B_ID,CA_NAME
2069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10487,
7364,516-60-1771,,1,1942-09-25,Oldright,Shiu,M,2582 Mitchell Drive,,M8C 1W1,Cheyenne,Alberta,United States of America,Shiu.M.Oldright@ProtectAnimals.com,Shiu.M.Oldright@snail-mail.net,,,241-9241,95375,,,,,,,,,AR3,WA1,1,1,1560,RoKAQk IMWFozsfmpEKevoLUDLrpiFY
7365,318-11-8739,,3,1924-01-28,Gowl,Shaker,,685 Landmark Avenue,,H7G 1V2,Toronto,MS,United States of America,Shaker.Gowl@gmx.hk,,,,151-4535,,,,005-4731,,,,281-1972,,GA1,MS3,1,1,9317,BJGEHsTvSkphGAfklnTaBVGLIxCnRBjCfjLIYVBxgtinI
4288,,,2,,,,,,,T5C 1V5,Montgomery,Manitoba,United States of America,Russell.V.Giridharagopal@webmail.co.za,,1,883,260-9251,,,,,,,,,,,,,1,,
7366,268-30-2550,m,3,1947-04-06,Chaar,Layney,G,20622 McAfee Court,,60655,Tampa,TN,United States of America,Layney.G.Chaar@gmx.it,,,353,896-9923,,,,,,,,,,AL3,NJ3,1,1,6796,NYsttWNxIEFrIJPlHSwvOEWfWqILRfkQ
5195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,21371,UsWoZCGzvCLPzTmUzUFK xEoHevuBcg
7367,098-79-7122,M,2,2013-07-28,Mayo,Aretha,M,18105 Buckeye Rue,,19187,San Jose,FL,Canada,Aretha.M.Mayo@shtrudel.com,Aretha.M.Mayo@mailmetrash.com,1,770,380-9014,,,,771-0632,,,,,,MO1,US2,2,1,3129,GIDHUguRhOFgHpNQDRJQPmyEyatSyIAfVQEDz LGT
568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7127,HQNFEJHSsIMfngGNzThQOODJRVXwvKA
1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2204,AuByCeVMZrnuDHkmsqoWryIfHeHSFit
340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,13396,wyOxilbPsLLJDNDHYVtOxZFEuKdUjxTaLAEGKqNZuW b
598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
7244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10316,kghCcXTOGIRJITKdQbNJeQiujniKJKEGSUuHCJHgCKShH
5253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,21013,fVeEyPmOkgIygBMaJHueSUoXK SR JxtxooBJItTCPyvS
7300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8061,tfjZ LkGBKNDNuvPTMModadQxNSkBG
3478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,24319,Caiso MyJfSVIFUAyrSWIXxnBFbvCiFMHZsuLyIGHJN
615,,,3,,,,,15633 Landmark Park,,,North Las Vegas,,United States of America,Cindi.X.Lloyd@doctor.com,,,,576-5855,,,,544-4525,,,,,,,,,1,,
2061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,7048,ROXDeLVMrOzFtECCDK JZPMMjGzqmgVpCHeSCiLsdbFwJVMYn
1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3368,
1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,23650,OWePzkQtHjpDTPCJLdBPocIUtFyYdqIHF
4315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,16725,HILyFuYMjlcCWPfsdCMzOuqi TQnigjwjDWswivQS
3016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,21160,EsJPkBteF uOwoGaySjdRBdcJVhIqzWNIKBcCE
6398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2532,TAsSFoMToVyEf CdSHDlCMGOolFAhQbh
5239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
6319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,20563,QJBmPkQLGQtvmGCdTvDFEJmSWYEERQDBDpUDqnUGfL
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,17026,
6120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,898,fsAmHSAGbiIOvJVvOKHmkvVOseHAebEKsRtLURuszPeYQq bLV
1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,12871,CkPfVbNshBLTGpaJuoPiZVlNFMQuaWZDNBEogCrJPtK 
5983,,,3,,,,,18785 Innsbrook North,,94279,Corpus Christi,MN,,Letta.Sherrill@taunusstein.net,,,,,,,,693-9350,,1,997,076-5694,,,,,1,,
3634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9542,xueo nQutGcogDEAlTmtNLjmGhRETxkQcOFbTqd
1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,18206,BhlMHZyRbzDpovLesFPPLYgEKsTm zOJDDNLwXWW
6442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,14781,UJXHYROINqxNpIOSgLKaedIOzNIuRyXKEfDaqfGGlJKlR
5926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,16978,CbVFOqyxaHetWWelDIylaKdFlQqTZaJowVJBWj XfC
1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
7314,,,,,,,,11444 Camp Bowie Court,,75251,Oakland,,,Aundrea.E.Waissman@gmx.it,Aundrea.E.Waissman@wildmail.com,,357,582-2700,,,,220-7617,07696,,,125-8032,,,,,1,,
7368,092-41-2301,,,1965-05-27,Bowers,Kamilah,,21372 Woolridge Park,,78220,Carrollton,FL,United States of America,Kamilah.Bowers@yahoo.com,Kamilah.Bowers@gmx.pt,,,,,,,664-6866,,1,927,335-7224,24139,PE4,US4,1,1,6141,jSBWhLZzHMOUKZoItkL TGQgeHFIDdWOTgwmz
6120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,23268,EmROvKdEBUUDRwjhDQmzWlUYDjDCPhbePWfCVKf
7369,839-65-9873,f,2,1925-06-16,Lalu,Kam,,3972 Wilmington Rue,,60720,Madison,UT,United States of America,Kam.Lalu@farce.de,Kam.Lalu@hotmail.com,,,706-2197,,,,,,,,,,NS9,FL1,0,1,23268,LZCUCKTxrBCbMjXyXCOAOJybRzrFBs
7370,225-05-1788,,3,1955-06-13,Doherty,Deanne,F,13729 Warner Lane,,32839,Indianapolis,RI,Canada,Deanne.F.Doherty@europe.com,Deanne.F.Doherty@shtrudel.net,,,048-3981,,,,361-6091,,1,425,431-6128,,NM7,OH5,0,1,523,bTQmqFBNlMZPKVbzUsFKsDrKiTTdhBtsGRFeVVzBXUPChKwDr
2924,,,,,,,,15591 Holgate Lane,,,Hull,CT,United States of America,Hildagarde.Fleugel@aol.com,Hildagarde.Fleugel@mail.be,,363,037-7019,,,,689-0086,,,,302-2415,59351,,,,1,,
7371,319-60-1693,,3,1968-11-25,Meleskie,Zahra,T,19775 Cordoba Court,Apt. 135,23459,McAllen,Ontario,United States of America,Zahra.T.Meleskie@eml.cc,,,,175-6866,,,664,880-2449,41442,,,424-3907,94021,MB8,NT1,2,1,6410,OSUGAPDIkVNmUlbZAvENwvYYZNrgKMKTdmUDfxPoRDo
5119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
7372,193-64-0526,,3,2007-12-13,Gaudreau,Barnes,,16059 Conier Lane,,M1G 1Q4,Savannah,MA,United States of America,Barnes.Gaudreau@mailmaniacs.com,,1,393,267-1760,,,,,,,,,,YT2,NY4,1,1,23848,GmFYoOuieqXNAjjWF AsZnHGkFhBNwynwMGEVGMoFta
7373,037-27-0240,,2,1980-07-20,El-Hawary,Cynthie,,18039 Tartan East,,95216,Milwaukee,PA,United States of America,Cynthie.El-Hawary@doctor.com,Cynthie.El-Hawary@animail.net,,682,105-7511,,1,398,747-0027,,,,,,ID3,ME3,1,1,3391,DroSbzDvMxhVbjPKjqi fRONxbtKycARtKQIVah
37,,,2,,,,,10122 Archer Court,,T5C 1V1,,,Canada,Salome.Bohner@mailmetrash.com,Salome.Bohner@gmx.com.my,,,890-0187,96190,1,803,402-4408,,,512,793-8979,88292,,,,1,,
7374,439-85-4411,M,3,1918-02-12,Gungor,Samaria,S,17213 Towerwood East,,43612,Fremont,UT,United States of America,Samaria.S.Gungor@teancum.net,,1,393,619-8873,,1,551,551-5744,,,,636-6304,,BC4,IA7,0,1,7052,WonCDGVtybHDMrNAMynZjDIckZmGTbsOyCHK
4336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,21900,uFTcSAxFEljKELsNAjhHrnjAbzMRgbcNyAJeTj
7375,243-19-2717,m,3,1989-05-06,Maxey,Poppy,,13064 Ennis Upper,,40503,Durham,WV,United States of America,Poppy.Maxey@soodonims.com,,,,903-9595,,,,980-8540,,,,,,ND2,AL2,1,1,15214,FLHEAXysehSNEhADBuRAoMEDcUsIaiuvwUIRknnQPvaR
7376,407-96-1574,,2,1997-05-09,Dillow,Ophelia,R,24374 Princeton Park,,M3W 1L2,Jacksonville,Nova Scotia,United States of America,Ophelia.R.Dillow@hushmail.com,,,,949-4258,,,714,705-1367,,,,,,NE4,NB2,1,1,11411,dhPFymSelWgUBhPoktGhqmzuOgJwEkGkuJqhHKxDYk
1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
7377,554-80-8764,F,3,1990-01-11,Tyner,Kelley,,11645 Kimberley Crescent,,V6R 1Q6,Sioux Falls,WI,United States of America,Kelley.Tyner@netdove.net,Kelley.Tyner@care2.com,,839,028-9352,,,819,936-8182,,,,,,CT1,MS2,1,1,5213,KkE OoIuy KXNSOAsPxcEeXcnmAVFRUpUEDoFaLZshMue THzr
4934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10834,BbvNZXyVagKNIKBbTaPqBUxgMVtHHFSCGM
7378,182-47-6720,m,2,2004-03-04,Markes,Kylie,,17404 Gale Court,,55125,Lakewood,KS,Canada,Kylie.Markes@mac.hush.com,Kylie.Markes@europe.com,,,620-1692,,,,868-9490,,,316,528-1108,,DE3,HI8,1,1,15917,LHNLBHMNlsLcSJJyhNFdlyNGCHfWkgDqnvyc
7379,590-13-4767,m,2,2007-09-13,Hally,Mariellen,,10232 Harris Drive,,82603,Frederick,AL,United States of America,Mariellen.Hally@operamail.com,,,367,003-5104,,,,,,,,,,SD1,NH1,1,1,2279,CpLGeyAHxNlaHrLRzaUmDQhEMTcwUnDqwJARsIHSGLUSZSBb
6595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
7380,665-71-1409,F,,1934-07-05,Hikita,Melicent,X,17042 Lancaster East,,V6R 1W4,Indianapolis,CO,United States of America,Melicent.X.Hikita@mail.com,,,278,058-1144,,,,438-8059,,,,331-9378,,NT3,GA4,1,1,24015,FiTzs RCZGEMlYOFGCImxreeOAUrY e
6679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
7381,258-44-4719,,2,1962-05-26,Sanramon,Lezlee,B,9954 Landera Upper,,77123,Moreno Valley,Newfoundland,United States of America,Lezlee.B.Sanramon@macgui.com,,,331,848-3331,,1,568,206-8568,,1,463,799-0117,,IA2,YT1,1,1,10763,tdamegwSHVqVlnIUrfzOlGcBdhprccLCZJaeeZWFCUmUo
7382,334-39-5833,m,3,1993-07-10,Wu,Derick,N,12107 Lake Park Lower,Apt. 76,48265,Huntington,Quebec,United States of America,Derick.N.Wu@rediffmail.com,,,,746-2521,,1,403,113-4542,31124,,,,,PE6,ON6,1,1,17855,LxkTKLvLFyFjIyedNjNcpmEoSqdEMkNYQZeAyAjECv
7383,932-62-1859,,3,2016-10-31,Rousseau,Ping,K,13371 Walnut Park,,M2Q 1D5,Sioux Falls,MI,United States of America,Ping.K.Rousseau@gmx.it,Ping.K.Rousseau@lavabit.com,,,868-7706,,,,,,,567,184-7495,13642,MB4,AL2,2,1,5165,nRVtMhyNmFFJAYTcwPBZVWHUEEAlVeFArIJ lK
7384,000-89-0393,f,3,2017-02-26,Schnupp,Ileana,,16656 Stuart West,,84113,Ontario,UT,United States of America,Ileana.Schnupp@hushmail.me,,1,559,908-3454,,,,,,,,,,PE3,AR1,1,1,24544,CIj CofDKnNdtfScApgDrRDOoNDaFT DGLTzOKlWdhxusJBv
650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
7385,356-07-8638,,3,1966-05-07,Niepmann,Aili,,2308 Baltic Road,,74116,West Covina,OH,United States of America,Aili.Niepmann@mailmetrash.com,,1,693,778-3509,,,,,,,,,,FL1,BC5,1,1,4019,amZQxIrHB wEGcTRYPTNKNOxoUboFZxQFPMn
485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,MsDDIRCIFXtTOqGFhJ YJNTxzoPbGJfinMqL
4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1372,YFcGGkNbOMnRIapJYlRPPCpLNrRLQRsltAZdujRhHcePOlOlcc
3770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,17756,YXwPOATUBqSTLpKaTZmnmaDZUxPETUEUetdnVVrrb RnLwJaHC
5240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,24056,FLXSrQmQPcAIbEyHKWDZIi OlqocMSAUMWTpoVwbYJvMUy 
1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,6127,IsDSgvUKZdKb rEENSpILBLmbwHDDPDpB
2706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7655,NLVKKviFeWnRpTEVeAJZFGcQBtOLuaNwgCPrONlLsDqYau
7321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,14491,hIJxofmhCvUVCbROSBsTqAxIwJQqokjXZMkQiKC
625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,21904,T fGDcMMucsrAeSqVPuSCnSvssEjQpNeAkgJGnCGshxY
2784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,130,RRSFppxNGT ZOZfuOtEJyUisnhBHhnz
1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,15037,ztmeYVLYpfSFkAoqixBkBFUWPrBcFgkxInSyHiEEPBmjE
643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,16681,jl hDFxOXZihHHfMbMRGXLrWQAbKvkONssQoR
961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9722,
2411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,14604,pTSZAu jEUkpeNNCiODBiekYQIIOOmdclevFeJrZoAa Fz
5768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,11350,tGBzRFoDSrpTsMvfNLUEdBKGQQO UBcoEwTTOIvWj
4303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,22835,EJzpvwBqKNVUaKApolEJetpUtcJKCLDpUVrnuHvrCZmBI
6509,,,,,,,,9298 Larner Road,,,San Jose,WI,United States of America,Radford.Bloemker@care2.com,Radford.Bloemker@bulldogs.com,,574,191-3830,,1,414,960-7829,,,,008-7871,,,,,1,,
6954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,19980,HMXYtMVZTIpqeHMrSqCqbamLPFfdwMKjJUBBm
6980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7683,FhO LTTVAzBwKlaqH KViCROEKmQiWIWLpAHFAztURhf
7048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6554,XgJHjpaAriPgKcopSZGQXemzLrACJANPWuGcpRbMICjusPz
5819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,22705,bvUiDCiJfjREfIvpcnGsaKySTsYNEqjno
3628,,,,,,,,,,78255,Virginia Beach,,United States of America,Ailina.Wadsworth@london.com,,,,551-6192,,,,022-5503,,,,,,,,,1,,
2569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6042,wvSsMFFkaNmADQFCnOdVSeYDzHHOJuLCVQmfUQiSx zxqXLUS
6068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11984,wUdBXbGPdJDjohOjxdWPgPgvOPQNShdvzLOcNPBGEPkhAOt
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,11230,mcXxnzGPSZoNUGawrIWLQmjsHCDzsgJOJfRatmPa
3987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,23094, DmESAZTdolzBIxlGyAfHpFpbqRlxIRgHQzbWC
7386,389-27-3857,f,3,1949-12-03,Duran,Adah,,13204 Beauregard Crescent,Suite 382,E7O 1P9,Dawson City,Nova Scotia,United States of America,Adah.Duran@doctor.com,Adah.Duran@shtrudel.org,,,833-5806,,1,626,428-0312,98489,1,755,681-6988,,NU7,KS2,0,1,11073,QWvCSkFVHEFThttOCVxrZgcBFLFFjTZnn UHJbGjOZrlul
2611,,,3,,,,,15031 Wood South,,T6D 1H6,Carrollton,,United States of America,Marylynne.C.Olson@mail2world.com,Marylynne.C.Olson@wildmail.com,,,272-4312,,,,,,,,768-4053,,,,,1,,
7387,244-26-6754,f,2,1942-11-12,Edmondson,Celesta,,22526 Queensbury Lower,,60710,Bellevue,VA,United States of America,Celesta.Edmondson@soodonims.com,Celesta.Edmondson@stoned.com,,,,,,,,,,,,,MO10,IA9,1,1,9722,tgMdFIPzujbFSnPcThkIESNcRcSvCULDRQAdst
615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
7388,247-16-1164,,2,1965-07-18,Beuren,Brendan,J,9849 Harrington Park,,V6H 1W6,Oakland,ID,United States of America,Brendan.J.Beuren@post.com,,,,786-4124,,,,492-9603,,,,359-1949,,MT8,KY2,1,1,8634,CIFXFTtiIpeVhMSCXKFtIPRekhMoxRqYJz SHFZYxzghzjopo
5939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
7389,642-46-3852,,2,1955-03-07,Holy,Laureen,T,6060 Wedgewood North,,80901,Lexington,OK,United States of America,Laureen.T.Holy@vfemail.net,,,294,129-9532,,,,368-2578,,,,,,NM6,LA3,1,1,6670,BczuFgHefsFaXLBBzSSwvhfTkxKjqPOLy
990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
7390,460-89-6649,,3,2006-04-13,Vennos,Adelice,B,3771 Annapolis Drive,,94471,Stamford,New Brunswick,United States of America,Adelice.B.Vennos@gmx.fr,Adelice.B.Vennos@teancum.net,,,294-3204,,,,704-3153,,,,068-3106,,NF2,SK3,1,1,10585,BGIMWBATDswYNgKeokgTwNhaarbtQClAdkbugCzv
2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
7391,098-09-3081,m,1,1981-05-27,Modafferi,Dieuwertje,,3020 Fox Rue,,64193,Fort Collins,GA,United States of America,Dieuwertje.Modafferi@gmx.es,Dieuwertje.Modafferi@aol.com,,,867-3560,,,,,,,,,,LA3,MI1,1,1,9941,oKtBALFQqoaBlHeuBaYzDSGNjmGFaGwlJHGRG SHQUU
5612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
7392,500-74-5063,M,2,1989-04-13,Ivan,Tidwell,,8951 Vista Street,,T6C 1E8,Toronto,CA,United States of America,Tidwell.Ivan@gmx.hk,Tidwell.Ivan@gmx.pt,,,882-1660,,,579,221-4996,,,,,,DE3,OK6,1,1,24281,UErAHpDzGwPXTJXGW IE FRcTzIsWSDswTzgJV
2932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,16698,
7393,731-54-8984,,2,1990-04-27,Skalski,Vinh,,14425 Edgson Drive,,78768,Birmingham,RI,United States of America,Vinh.Skalski@mac.hush.com,Vinh.Skalski@deacons.com,,,877-6762,,,,309-8415,,,,,,YT7,ID5,0,1,12465,soNFGDFrWLTLQQVsAtJzlEVCSUQNWQzIVddvivQOMyubfCEPz
2437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,13812,
7394,294-17-8889,m,3,1932-09-14,Cadshare,Elias,,8251 Saratoga Upper,,H5I 1Q3,Corona,KY,Canada,Elias.Cadshare@SaveWildlife.com,Elias.Cadshare@post.com,,,070-8187,,,,688-3287,,,,,,ON10,NS7,2,1,13625,AwRhUJBfgBSKUktLeORMYc Gp HsomrUXyE
5857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,7747,DaJskMbNeIlKNHEGmDImEeSPMLJEMw
7395,214-18-9239,,2,1946-01-05,Walser,Bibby,O,22756 Rogers Street,,23522,Mobile,VT,United States of America,Bibby.O.Walser@mail.be,Bibby.O.Walser@mail.be,1,703,329-4580,,,,748-8906,,,,,,MT4,SK8,1,1,16047,TNSlULIAWpywTqW sjFOKqxwstEDUMBaZszhqKY snGLxXiYL
1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,22129,fauuiDgwMvScJGDqOvAbqcRVZUELuvRmCQELL
7396,825-32-1927,,3,1991-01-15,Burgi,Mathew,,2930 Dunn Lower,,19110,Manchester,Prince Edward Island,United States of America,Mathew.Burgi@aol.com,Mathew.Burgi@ip6.li,,,274-3480,,,,777-5640,57356,,,076-7852,,HI7,OH3,1,1,5039,tRR JKQkFgQBOUkJcdrwDYHLFzKuQAEOPUN
6345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
7397,340-89-1808,M,3,1965-12-05,Ostaszewski,Meena,,7527 Whale Drive,,V6B 1V9,Orange,VT,United States of America,Meena.Ostaszewski@mail2world.com,Meena.Ostaszewski@shtrudel.tv,1,546,121-4346,,,,,,,,933-7599,,MT8,OH2,1,1,10200,hUnzOwAPssnMuXfolqOHxYamtLQIfCYWXWABSQXMhKwpGdiqh
2556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8689,UvkTqAnpaCMtNyprsoCdONvNVdqVFmjYYVx fqxxKBwMrzCOgN
7398,494-96-1820,F,3,2012-05-09,Gazo,Randi,E,8909 Quentin Road,,94332,Brownsville,WY,United States of America,Randi.E.Gazo@gmx.com,Randi.E.Gazo@mail.com,1,239,270-7969,,1,303,938-4095,,,,,,MB4,DC1,1,1,5506,rHGFskOKkTVAjUIfr y RFERmwOTsFdlMTsN
1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,15279,cRecKEhUCAwutCPfz JIGIIJAdBEBXUecGXwXuKzST
7399,272-88-5689,m,3,1950-08-07,Parkhill,Kathi,Y,20857 Darlington Way,,T5A 1L1,Orlando,Quebec,United States of America,Kathi.Y.Parkhill@hush.ai,Kathi.Y.Parkhill@mac.hush.com,,274,599-0432,,,623,645-9998,,,,,,DE3,NS3,1,1,24087,
1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4889,ifFcyYOwLDUcQTREPpulHRvDKJXZhSYFcaQDqggzcvEMNY
7400,513-73-6802,f,3,1950-06-14,Erskine,Jolyn,L,16557 Howser Rue,Apt. 653,96801,Frederick,FL,United States of America,Jolyn.L.Erskine@ip6.li,Jolyn.L.Erskine@SoftHome.net,1,660,768-1967,,,,911-9740,02352,,,094-3232,,ON8,IA6,1,1,16285,qMPerqBnBawUXbMQeyBLGZBbEIUfMt
4652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9903,
7401,583-12-5205,F,2,2004-11-12,Vinet,Shandee,,17131 Braeswood Boulevard,,63145,Dover,NY,United States of America,Shandee.Vinet@hushmail.com,Shandee.Vinet@gawab.com,,,961-8672,,,,,,,,,,NV1,MD2,1,1,11216,NgGNWSKMlXtkXbLZSQpqKiUROcdvod
3937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,rICXlgHPtcFnHLOQhUiEVseHkvnFmxaFAP
7402,876-26-8804,,2,1974-10-15,Banks,Valeria,,7123 Drexel Rue,Suite 382,63174,Montreal,GA,United States of America,Valeria.Banks@bulldogs.com,Valeria.Banks@lpemail.com,1,243,207-6756,,,,224-6699,,,,,,LA3,AZ1,0,1,5049,HRdL lPMBYCMFDQvPGZPIVviOjx tddAyW
7403,010-05-7204,,3,1919-03-12,Findlay,Anneliese,,18063 Avalon Drive,,35247,Cincinnati,ND,United States of America,Anneliese.Findlay@mail.be,,1,330,401-7292,,,,,,,,,,MT5,VA2,1,1,22337,NpERomEtBp IDNrCxOECSnrHydHd geFsONjAIPXT
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5980,xuoDnSOSaXuSERuzFJMCAcfEkRLYEeBBSiekMZEpiSlL
4099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,990,wflKtOnzJGPewQIetvQYMxSYNHlqVSQXCxDFmyjqLUYNTE
2410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1986,eEgELOGgIGNINfxHaXEDYbnKZYXFHIOpAKCa
3148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,11169,qLdAakTWTNYVaXAFfzgnfBaVSYlaNiNf
2630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,24424,oVuscACQYoyhMoffIcAUCmOZNydaoVJUaNJrXQM
2862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,7232,OJJEDDDLuKMEaVDPDNYgPAxQmQy oNoTLyL
4489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,20311,iunOBXtdmfFeYCNVTDLpBSEqLhKVPPYTfvTcYYxTbURxiDvXh
6248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,17769,KlFkqo UHPxWaPp LCOecaLhtCGIoGEjATjglaTSl
5005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,3849,YFGwpmhGxXhItfKhzrjLoVGNejmJcIWTCSSXojX
1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2252,njNoPSMQiEycngVLYckPFGOiErHtxMVqO J SdQAl
3070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7215,ElNsYTBhAODuapPnebZKPOMfOpkQtYGGCnVosWLC
2088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,24363,iMHMUiwKGWopkFjeuViFmZIYLMDiqAGRD
2331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
7247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,24083,ejOjoGNKzqzWgSfCejxGApSBRZxpSdfBjd
1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
7182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,16783,zlWaSCLSTIXmCIdmEKrqAyKkDcKxUNGGNy
6797,,,,,,,,,,V6K 1S6,,GA,United States of America,Antonella.Grzesik@netdove.net,Antonella.Grzesik@hush.ai,,,904-5731,,,706,757-8621,,,,,,,,,1,,
